Date,Close/Last,Volume,Open,High,Low
01/30/2026,100.13,12469670,100.16,100.22,100.11
01/29/2026,100.15,10066550,100.10,100.24,100.01
01/28/2026,100.15,14730060,100.15,100.17,100.00
01/27/2026,100.19,7571771,100.25,100.3272,100.165
01/26/2026,100.26,6527090,100.26,100.305,100.21
01/23/2026,100.11,8621395,100.05,100.15,99.96
01/22/2026,100.02,10154560,99.91,100.08,99.87
01/21/2026,100.00,16939840,99.77,100.03,99.72
01/20/2026,99.67,14337310,99.71,99.86,99.66
01/16/2026,100.05,10332460,100.22,100.24,100.04
01/15/2026,100.22,9923598,100.42,100.42,100.22
01/14/2026,100.35,8585382,100.23,100.41,100.23
01/13/2026,100.20,7561565,100.24,100.24,100.0907
01/12/2026,100.11,9871275,100.06,100.21,100.025
01/09/2026,100.16,9879943,100.08,100.2697,99.97
01/08/2026,99.94,6184140,99.94,100.01,99.91
01/07/2026,100.12,7151866,100.17,100.20,100.03
01/06/2026,100.02,8573862,99.93,100.03,99.81
01/05/2026,100.04,9364905,99.93,100.07,99.88
01/02/2026,99.85,6730314,100.00,100.01,99.81
12/31/2025,99.88,13535520,100.02,100.12,99.88
12/30/2025,100.12,7955848,100.06,100.18,100.0321
12/29/2025,100.16,7886660,100.12,100.19,100.0601
12/26/2025,100.04,6503670,100.13,100.15,99.97
12/24/2025,100.02,4483895,99.90,100.04,99.8501
12/23/2025,99.80,9744231,99.60,99.815,99.58
12/22/2025,99.80,6178745,99.82,99.83,99.74
12/19/2025,99.84,6216568,99.89,99.95,99.80
12/18/2025,100.32,8191080,100.32,100.37,100.215
12/17/2025,100.07,12010950,100.03,100.135,100.015
12/16/2025,100.10,8614448,99.87,100.15,99.86
12/15/2025,99.91,9960413,100.01,100.08,99.88
12/12/2025,99.81,7588508,99.84,99.92,99.7801
12/11/2025,100.12,9961268,100.32,100.35,100.0801
12/10/2025,100.10,9279664,99.77,100.13,99.76
12/09/2025,99.78,5967960,100.04,100.04,99.7736
12/08/2025,99.87,8039061,100.02,100.0333,99.7415
12/05/2025,100.03,6870064,100.17,100.1747,99.96
