Date,Close/Last,Volume,Open,High,Low
01/30/2026,89.41,12931270,90.27,90.44,89.05
01/29/2026,90.89,2002117,91.53,91.53,89.73
01/28/2026,90.65,1798131,90.84,90.89,90.19
01/27/2026,91.02,1900435,90.49,91.115,90.41
01/26/2026,89.59,1455859,89.571,89.90,89.56
01/23/2026,89.24,1206401,88.54,89.2854,88.375
01/22/2026,88.65,1013611,88.66,88.8988,88.44
01/21/2026,88.13,1992384,87.655,88.41,87.35
01/20/2026,87.15,2420178,87.29,87.745,87.01
01/16/2026,88.21,1401956,88.22,88.24,87.79
01/15/2026,88.14,1719205,88.34,88.455,88.1046
01/14/2026,88.03,2396723,87.89,88.03,87.643
01/13/2026,87.59,1342342,87.96,87.96,87.3979
01/12/2026,88.08,1743806,87.65,88.11,87.61
01/09/2026,87.34,1486988,87.00,87.40,86.89
01/08/2026,86.72,1168186,86.425,86.725,86.365
01/07/2026,86.72,939890,86.93,86.96,86.60
01/06/2026,87.06,1133358,87.04,87.215,86.925
01/05/2026,86.78,2904919,86.115,86.785,86.0368
01/02/2026,85.85,5156370,85.68,85.86,85.37
12/31/2025,84.64,2566055,85.00,85.00,84.59
12/30/2025,84.97,8726574,85.19,85.3471,84.965
12/29/2025,84.94,2080872,84.875,85.03,84.73
12/26/2025,85.23,995518,85.10,85.23,84.965
12/24/2025,84.93,591064,84.88,84.975,84.7727
12/23/2025,84.80,2371456,84.61,84.82,84.51
12/22/2025,84.28,2920932,84.145,84.33,84.053
12/19/2025,83.90,2093479,83.74,84.1878,83.65
12/18/2025,83.28,3332471,83.365,83.685,83.115
12/17/2025,82.57,9442259,83.19,83.28,82.5413
12/16/2025,83.11,2444724,83.34,83.43,82.89
12/15/2025,85.15,1918597,85.59,85.59,85.045
12/12/2025,84.89,1760987,85.58,85.645,84.56
12/11/2025,85.50,2573071,85.24,85.61,85.0926
12/10/2025,85.28,2352152,84.50,85.415,84.41
12/09/2025,84.36,1676542,84.32,84.585,84.29
12/08/2025,84.45,4908860,84.74,84.74,84.22
12/05/2025,84.57,2573471,84.94,85.025,84.51
12/04/2025,84.48,2699553,84.59,84.67,84.305
12/03/2025,84.28,2631854,84.00,84.325,83.9555
12/02/2025,84.03,1275053,84.12,84.12,83.75
12/01/2025,83.92,1812446,84.025,84.245,83.86
11/28/2025,84.26,450323,83.96,84.29,83.855
11/26/2025,83.90,818444,83.35,84.02,83.35
11/25/2025,83.05,1140321,82.53,83.065,82.15
11/24/2025,82.27,1826231,81.85,82.365,81.78
11/21/2025,81.93,1939113,81.39,82.1536,81.015
11/20/2025,81.10,2964295,82.82,82.9542,81.06
11/19/2025,82.23,1151613,82.30,82.70,81.88
11/18/2025,82.46,2109228,82.26,82.72,81.94
11/17/2025,83.20,1749295,83.67,83.98,82.90
11/14/2025,84.26,1220607,83.77,84.5252,83.6187
11/13/2025,84.31,1061025,85.20,85.28,84.19
11/12/2025,85.27,1419013,85.09,85.335,85.0361
11/11/2025,84.88,1073162,84.60,84.995,84.58
11/10/2025,84.48,885603,84.125,84.5272,83.865
11/07/2025,83.38,1755882,82.83,83.395,82.46
11/06/2025,83.23,1230716,83.585,83.68,82.9916
11/05/2025,83.60,877580,83.09,83.74,83.09
11/04/2025,83.02,1404376,83.10,83.515,82.99
11/03/2025,84.14,1076482,84.14,84.20,83.79
10/31/2025,83.95,1381055,84.10,84.10,83.62
10/30/2025,84.12,1089390,84.071,84.465,83.98
10/29/2025,84.62,4809773,85.18,85.18,84.24
10/28/2025,84.88,1370690,84.675,85.06,84.58
10/27/2025,84.89,3189820,84.88,84.905,84.68
10/24/2025,84.31,1831318,84.32,84.415,84.18
10/23/2025,83.98,1095346,83.79,84.13,83.68
10/22/2025,83.49,6894449,83.54,83.8099,83.12
10/21/2025,83.50,1003367,83.82,83.84,83.4899
10/20/2025,84.26,966523,83.85,84.3493,83.85
10/17/2025,83.45,1127769,83.14,83.565,82.995
10/16/2025,83.50,1613028,83.67,83.93,83.205
10/15/2025,83.15,1324037,83.04,83.37,82.64
10/14/2025,82.43,1244094,81.60,82.75,81.53
10/13/2025,82.40,1192026,82.16,82.535,82.02
10/10/2025,81.21,2989392,82.99,83.05,81.07
10/09/2025,83.10,1751410,83.89,83.93,82.92
10/08/2025,83.85,859750,83.72,83.86,83.60
10/07/2025,83.50,1082347,84.08,84.08,83.44
10/06/2025,84.17,1200862,84.16,84.325,84.045
10/03/2025,83.95,816069,83.84,84.09,83.70
10/02/2025,83.38,1512792,83.54,83.605,82.955
10/01/2025,83.16,1735243,82.97,83.255,82.965
09/30/2025,82.58,1092679,82.30,82.6553,82.25
09/29/2025,82.28,1245457,82.28,82.3738,82.135
09/26/2025,81.83,1273068,81.53,81.845,81.465
09/25/2025,81.52,958116,81.60,81.60,81.19
09/24/2025,82.00,955651,82.23,82.38,81.954
09/23/2025,82.51,1361996,82.79,82.94,82.445
09/22/2025,82.56,6537461,82.36,82.63,82.175
09/19/2025,82.28,716762,82.38,82.435,82.14
09/18/2025,82.51,842955,82.33,82.61,82.06
09/17/2025,82.39,1525353,82.54,83.04,82.00
09/16/2025,82.49,1292943,82.52,82.575,82.195
09/15/2025,82.45,1344276,82.26,82.45,82.1316
09/12/2025,81.81,1002515,81.89,81.97,81.6601
09/11/2025,82.07,1214218,81.57,82.10,81.515
09/10/2025,81.17,1610764,81.345,81.4659,81.0717
09/09/2025,80.99,3366408,80.97,81.16,80.86
09/08/2025,81.08,1481327,80.95,81.1159,80.695
09/05/2025,80.36,1370095,80.54,80.7619,80.04
09/04/2025,79.81,1060393,79.475,79.815,79.36
09/03/2025,79.49,1492931,79.39,79.55,79.21
09/02/2025,79.26,1300213,78.71,79.305,78.69
08/29/2025,79.83,988728,79.81,79.925,79.645
08/28/2025,80.19,755540,80.12,80.27,79.98
08/27/2025,79.89,2961100,79.52,79.925,79.41
08/26/2025,80.12,796880,80.01,80.145,79.94
08/25/2025,80.14,1303594,80.73,80.83,80.135
08/22/2025,80.98,1931293,79.98,81.0697,79.9301
08/21/2025,79.64,1111553,79.68,79.78,79.47
08/20/2025,79.94,986604,79.902,79.99,79.655
08/19/2025,79.84,1480657,80.17,80.235,79.77
08/18/2025,80.07,2436187,80.00,80.07,79.81
08/15/2025,79.97,944056,80.08,80.08,79.85
08/14/2025,79.61,1081970,79.51,79.67,79.36
08/13/2025,79.98,734748,79.83,80.035,79.81
08/12/2025,79.48,880488,78.89,79.4862,78.798
08/11/2025,78.55,745591,78.61,78.73,78.47
08/08/2025,78.82,747954,78.73,78.94,78.63
08/07/2025,78.56,1613486,78.84,78.84,78.2735
08/06/2025,77.99,1356968,77.83,78.075,77.72
08/05/2025,77.49,2572989,77.59,77.63,77.23
08/04/2025,77.37,1602942,77.16,77.37,77.11
08/01/2025,76.35,2640415,76.475,76.49,75.96
07/31/2025,76.66,1992508,77.08,77.08,76.505
07/30/2025,77.29,1317418,77.60,77.77,77.04
07/29/2025,77.86,1748400,77.91,78.01,77.7348
07/28/2025,77.89,1491227,78.31,78.31,77.785
07/25/2025,78.92,974496,78.49,78.92,78.41
07/24/2025,79.00,1912186,79.25,79.345,79.00
07/23/2025,79.58,3378189,78.97,79.59,78.895
07/22/2025,78.17,1055530,77.87,78.1751,77.61
07/21/2025,77.85,1381608,77.81,78.20,77.68
07/18/2025,77.40,1106889,77.89,77.9697,77.345
07/17/2025,77.59,984116,77.15,77.615,77.08
07/16/2025,77.29,2256510,76.97,77.31,76.695
07/15/2025,76.95,1233426,77.60,77.61,76.88
07/14/2025,77.34,1298153,77.14,77.385,77.04
07/11/2025,77.26,935043,77.41,77.41,77.155
07/10/2025,77.82,934441,77.71,77.845,77.45
07/09/2025,77.74,2560007,77.62,77.76,77.3941
07/08/2025,77.37,1532681,77.13,77.44,77.03
07/07/2025,76.90,1730306,77.27,77.38,76.71
07/03/2025,77.79,710771,77.64,77.8925,77.585
07/02/2025,77.67,1729998,77.14,77.67,77.0265
07/01/2025,77.38,2766184,77.23,77.47,77.17
06/30/2025,77.31,3879517,77.08,77.415,76.93
06/27/2025,77.14,1230921,77.09,77.39,76.83
06/26/2025,76.83,1731307,76.551,76.8754,76.4501
06/25/2025,76.03,6919853,76.02,76.0858,75.83
06/24/2025,76.24,1648114,75.82,76.335,75.7666
06/23/2025,75.12,3416730,74.16,75.12,74.10
06/20/2025,74.52,2217893,75.16,75.24,74.485
06/18/2025,75.07,2405068,75.28,75.46,74.95
06/17/2025,75.02,1378487,75.61,75.675,74.94
06/16/2025,75.96,4733585,76.10,76.5199,75.905
06/13/2025,76.62,1387930,76.60,76.9962,76.44
06/12/2025,77.63,1687328,77.42,77.67,77.355
06/11/2025,77.17,1088257,77.37,77.48,77.1141
06/10/2025,77.14,934218,77.15,77.23,76.87
06/09/2025,76.87,1037509,76.80,77.0953,76.6999
06/06/2025,76.74,1595722,76.61,76.7508,76.49
06/05/2025,76.48,1916227,76.71,76.795,76.31
06/04/2025,76.38,1523299,76.19,76.555,76.18
06/03/2025,75.88,1424587,75.72,75.96,75.5003
06/02/2025,76.22,3148524,75.68,76.26,75.43
05/30/2025,75.41,1360192,75.46,75.5299,74.91
05/29/2025,75.58,2339026,75.77,75.8025,75.27
05/28/2025,75.33,1963956,75.45,75.515,75.225
05/27/2025,75.96,1829525,75.95,76.0799,75.83
05/23/2025,75.26,1438786,74.50,75.395,74.50
05/22/2025,75.00,1721109,74.81,75.185,74.70
05/21/2025,75.07,1278121,75.53,75.7926,75.03
05/20/2025,75.41,2302641,75.22,75.44,75.15
05/19/2025,75.18,1726078,74.49,75.205,74.49
05/16/2025,74.72,1706425,74.50,74.7499,74.33
05/15/2025,74.61,898487,74.38,74.61,74.15
05/14/2025,74.04,1528918,74.45,74.4669,73.935
05/13/2025,74.08,1749487,73.80,74.26,73.70
05/12/2025,73.95,2368310,73.90,73.95,73.47
05/09/2025,73.25,1158702,73.48,73.4899,73.09
05/08/2025,72.85,1461683,73.26,73.26,72.84
05/07/2025,73.02,1079446,73.13,73.28,72.80
05/06/2025,73.39,2806939,73.34,73.615,73.265
05/05/2025,73.50,4742096,73.60,73.71,73.48
05/02/2025,73.23,3123256,73.20,73.34,73.03
05/01/2025,71.73,2729703,71.98,72.13,71.63
04/30/2025,71.94,30256490,71.53,72.08,71.175
04/29/2025,71.88,6373990,71.67,72.005,71.62
04/28/2025,71.64,2120198,71.39,71.685,71.245
04/25/2025,71.23,1166090,70.89,71.27,70.76
04/24/2025,71.14,1333496,70.49,71.19,70.445
04/23/2025,70.23,2369459,70.56,71.05,70.09
04/22/2025,69.89,1250204,69.57,70.24,69.48
04/21/2025,68.65,882688,69.30,69.30,68.17
04/17/2025,68.92,1547848,68.77,69.355,68.75
04/16/2025,68.25,2352471,68.58,68.89,67.945
04/15/2025,68.61,1263447,68.50,68.87,68.47
04/14/2025,68.20,3185288,67.92,68.55,67.70
04/11/2025,67.47,3582397,66.14,67.61,66.11
04/10/2025,65.71,2329466,66.03,66.09,64.32
04/09/2025,66.98,2896974,62.80,67.163,62.16
04/08/2025,62.37,9659959,64.99,65.01,61.75
04/07/2025,62.89,14449340,62.20,65.20,61.86
04/04/2025,64.56,7531405,66.28,66.39,64.38
04/03/2025,68.77,1883228,69.22,69.56,68.702
04/02/2025,70.24,1787064,69.60,70.309,69.56
04/01/2025,70.08,2132010,69.86,70.23,69.52
03/31/2025,69.81,1825086,69.37,69.97,69.0999
03/28/2025,70.28,1272096,70.54,70.92,70.17
03/27/2025,71.16,940598,70.92,71.3587,70.88
03/26/2025,70.99,1478600,71.46,71.58,70.875
03/25/2025,71.79,1561320,71.78,71.9366,71.66
03/24/2025,71.53,1115235,71.51,71.69,71.33
03/21/2025,71.40,5106008,71.22,71.50,71.13
03/20/2025,71.77,1193627,71.38,71.83,71.2924
03/19/2025,72.31,1578720,72.02,72.55,71.885
03/18/2025,72.07,2083496,72.09,72.1669,71.74
03/17/2025,72.18,2120190,71.50,72.2772,71.48
03/14/2025,71.30,1631917,70.73,71.32,70.63
03/13/2025,69.97,1318530,70.02,70.25,69.77
03/12/2025,70.43,988979,70.36,70.565,69.93
03/11/2025,69.96,2500480,70.23,70.33,69.465
03/10/2025,69.96,2283597,70.57,70.72,69.485
03/07/2025,71.61,2779604,71.16,71.695,70.875
03/06/2025,71.01,3970230,71.31,71.74,70.96
03/05/2025,71.63,2461056,70.86,71.735,70.86
03/04/2025,69.87,3269460,69.49,70.575,68.945
03/03/2025,69.83,3382146,70.65,70.78,69.485
02/28/2025,69.67,18198870,69.40,69.69,69.0301
02/27/2025,69.81,2165882,70.45,70.495,69.81
02/26/2025,70.80,1365439,70.89,71.31,70.655
02/25/2025,70.57,1709256,70.77,70.7899,70.275
02/24/2025,70.19,2568764,70.54,70.6049,70.09
02/21/2025,70.52,831198,71.10,71.13,70.385
02/20/2025,70.99,586129,70.88,71.05,70.69
02/19/2025,70.61,1284771,70.62,70.705,70.39
02/18/2025,71.12,1645943,71.00,71.155,70.93
02/14/2025,70.67,1943231,70.80,70.9199,70.60
02/13/2025,70.50,1049825,69.80,70.51,69.80
02/12/2025,69.76,1873702,69.13,69.9586,69.07
02/11/2025,69.56,1115948,69.20,69.66,69.15
02/10/2025,69.44,2510581,69.30,69.4579,69.23
02/07/2025,68.91,1688323,69.49,69.6222,68.79
02/06/2025,69.33,1174528,69.23,69.42,69.135
02/05/2025,69.06,1523167,68.76,69.1399,68.73
02/04/2025,68.59,2327456,68.14,68.69,68.14
02/03/2025,67.69,2577075,67.20,68.03,67.0902
01/31/2025,68.40,951730,69.03,69.30,68.355
01/30/2025,69.08,1527343,68.87,69.379,68.81
01/29/2025,68.25,1479347,68.33,68.50,68.06
01/28/2025,68.27,884398,68.13,68.275,67.795
01/27/2025,68.16,1732169,67.99,68.169,67.93
01/24/2025,68.56,1111807,68.45,68.73,68.415
01/23/2025,68.21,1007090,67.85,68.2165,67.77
01/22/2025,67.79,1720008,68.01,68.01,67.79
01/21/2025,67.91,1765884,67.49,67.93,67.41
