Date,Close/Last,Volume,Open,High,Low
01/30/2026,90.80,4618037,90.46,90.82,89.655
01/29/2026,90.71,7283919,89.98,90.83,89.415
01/28/2026,89.46,4520546,90.48,90.615,89.24
01/27/2026,90.39,3217100,90.305,90.58,90.04
01/26/2026,90.42,3004662,90.79,91.055,90.32
01/23/2026,90.54,2838199,90.22,90.625,89.875
01/22/2026,90.36,3922910,91.37,91.62,90.3093
01/21/2026,91.26,6140307,91.54,91.69,90.53
01/20/2026,90.90,4648896,91.82,92.07,90.84
01/16/2026,92.62,4819629,91.34,92.815,91.2054
01/15/2026,91.50,3845576,91.30,91.89,91.02
01/14/2026,90.87,3535361,90.085,90.89,90.01
01/13/2026,90.09,3085327,89.62,90.16,88.81
01/12/2026,89.59,3342583,89.58,89.955,89.32
01/09/2026,89.47,4126084,89.31,90.02,89.31
01/08/2026,89.29,5165995,88.10,89.63,88.01
01/07/2026,88.50,6668177,89.87,90.01,88.48
01/06/2026,89.37,4889819,88.38,89.575,88.28
01/05/2026,88.72,5501563,88.30,89.065,87.875
01/02/2026,88.52,3524509,88.37,88.85,87.84
12/31/2025,88.49,3301734,89.18,89.20,88.45
12/30/2025,89.22,2813521,89.095,89.27,88.915
12/29/2025,89.04,2604009,89.24,89.33,88.794
12/26/2025,88.86,2065781,88.70,88.92,88.46
12/24/2025,88.76,2730765,88.21,88.91,88.21
12/23/2025,88.18,3955916,88.28,88.28,87.865
12/22/2025,88.24,3594008,87.65,88.365,87.475
12/19/2025,88.59,4162336,88.67,89.1699,88.55
12/18/2025,88.93,3818063,89.84,89.99,88.83
12/17/2025,89.40,3715500,88.99,89.76,88.975
12/16/2025,89.07,3717881,89.65,89.9799,88.925
12/15/2025,89.73,3915126,89.82,89.88,89.095
12/12/2025,89.45,3855912,89.95,90.27,89.23
12/11/2025,89.56,5207398,89.43,89.92,89.26
12/10/2025,89.17,4633433,89.13,89.81,89.01
12/09/2025,88.85,4194036,89.44,89.98,88.82
12/08/2025,89.19,3971844,89.92,89.92,89.15
12/05/2025,89.88,3859884,89.82,90.35,89.72
12/04/2025,89.98,4837544,90.025,90.59,89.865
12/03/2025,90.20,3204263,89.86,90.42,89.8051
12/02/2025,89.97,2737085,90.52,90.64,89.68
12/01/2025,90.29,3120840,90.45,90.81,90.225
11/28/2025,91.34,1627090,90.93,91.60,90.93
11/26/2025,91.04,3297995,90.43,91.57,90.39
11/25/2025,90.64,4230357,90.05,91.035,90.05
11/24/2025,89.81,3331007,89.64,89.94,89.09
