Date,Close/Last,Volume,Open,High,Low
01/30/2026,340.57,9905765,340.79,342.04,338.36
01/29/2026,342.29,8936851,343.54,343.83,337.69
01/28/2026,343.08,5854752,344.06,344.42,342.32
01/27/2026,343.27,3689039,342.85,343.73,342.29
01/26/2026,342.03,4957219,341.15,342.67,340.80
01/23/2026,340.56,4905901,340.70,341.55,339.84
01/22/2026,340.87,5505899,341.47,342.01,339.985
01/21/2026,339.08,9761843,336.19,340.71,335.435
01/20/2026,335.11,13144320,336.72,338.625,334.67
01/16/2026,341.85,6418521,342.87,343.0484,341.07
01/15/2026,342.05,8296861,343.01,343.665,341.68
01/14/2026,341.00,12154780,341.20,341.47,338.905
01/13/2026,342.34,8088126,343.40,343.54,341.26
01/12/2026,343.03,5775945,340.91,343.41,340.78
01/09/2026,342.40,6854092,340.85,342.94,340.00
01/08/2026,340.14,6800029,339.77,340.745,339.09
01/07/2026,340.05,6629562,341.36,342.075,339.88
01/06/2026,341.21,6054463,338.99,341.39,338.81
01/05/2026,338.84,5442161,338.00,339.6084,337.85
01/02/2026,336.31,5177284,337.15,337.741,334.60
12/31/2025,335.27,3493687,338.04,338.13,335.22
12/30/2025,337.85,3576246,338.39,338.78,337.75
12/29/2025,338.39,3795871,338.40,339.27,337.57
12/26/2025,339.67,3543603,340.135,340.325,339.17
12/24/2025,339.88,4006460,338.78,340.10,338.71
12/23/2025,338.72,3611146,337.00,338.83,337.00
12/22/2025,337.60,3782103,337.00,337.91,336.61
12/19/2025,336.22,4022606,334.37,336.59,334.21
12/18/2025,333.25,3347732,333.78,335.35,332.47
12/17/2025,330.71,3980310,334.92,335.20,330.63
12/16/2025,334.36,4129247,334.59,335.51,332.42
12/15/2025,335.33,3571852,337.98,338.00,334.68
12/12/2025,335.99,4258897,339.50,339.75,334.85
12/11/2025,339.87,3818952,337.88,339.94,336.4435
12/10/2025,338.73,5697052,336.12,339.59,335.50
12/09/2025,336.23,3035694,336.28,337.55,336.07
12/08/2025,336.57,3532782,338.20,338.20,335.6012
12/05/2025,337.56,3340543,337.57,338.96,337.03
12/04/2025,337.09,3587799,337.24,337.34,335.59
12/03/2025,336.56,3779878,334.76,337.07,334.41
12/02/2025,335.06,2920009,335.65,336.36,334.18
12/01/2025,334.66,4270595,333.96,336.10,333.75
11/28/2025,336.31,2288256,335.40,336.4201,334.86
11/26/2025,334.44,2745511,333.32,335.49,332.955
11/25/2025,332.16,3654291,328.64,332.66,326.76
11/24/2025,328.64,4167647,325.51,329.19,324.94
11/21/2025,323.80,4695333,321.38,326.32,319.435
11/20/2025,320.10,4176047,330.31,331.60,319.85
11/19/2025,325.28,3538279,324.65,327.61,323.35
11/18/2025,324.22,5563257,324.74,326.55,321.9242
11/17/2025,326.43,4336687,328.705,330.77,324.80
11/14/2025,329.86,3669197,326.57,331.85,325.62
11/13/2025,329.91,4213837,334.50,334.63,329.24
11/12/2025,335.86,2730897,336.82,336.925,334.8785
11/11/2025,335.74,2506359,334.34,336.05,333.749
11/10/2025,334.92,3658936,333.32,335.45,332.04
11/07/2025,330.09,4707092,328.04,330.125,324.97
11/06/2025,329.37,2968120,332.79,333.0594,328.63
11/05/2025,333.16,3146967,331.83,334.68,331.30
11/04/2025,331.74,3288715,332.21,334.13,331.389
11/03/2025,335.80,3344444,337.00,337.14,333.89
10/31/2025,335.42,4243081,336.62,336.62,333.85
10/30/2025,334.08,5025780,336.00,337.18,334.05
10/29/2025,337.71,4818828,338.35,339.0601,335.69
10/28/2025,337.95,3765039,338.34,338.81,337.11
10/27/2025,337.43,5496114,336.70,337.70,336.23
10/24/2025,333.71,3780088,333.36,334.54,333.21
10/23/2025,331.01,2955741,329.32,331.575,328.99
10/22/2025,328.90,7357889,331.18,331.2259,326.65
10/21/2025,330.91,4099792,330.79,331.86,330.12
10/20/2025,330.95,3919564,328.95,331.36,328.86
10/17/2025,327.30,5646772,325.01,327.94,324.24
10/16/2025,325.77,5328475,329.37,329.935,324.08
10/15/2025,328.38,4245557,329.39,330.99,325.295
10/14/2025,326.83,6307297,323.90,328.62,322.08
10/13/2025,326.93,4476790,325.785,327.58,325.1632
10/10/2025,321.80,7886724,331.16,332.15,321.62
10/09/2025,330.66,3803151,331.93,332.1987,329.75
10/08/2025,331.81,3149299,330.51,331.87,329.83
10/07/2025,329.62,4956078,331.72,331.99,328.80
10/06/2025,331.21,4899408,331.41,331.76,330.14
10/03/2025,329.97,4894017,330.36,331.735,329.43
10/02/2025,329.79,4010486,330.20,330.26,328.4501
10/01/2025,329.31,5983133,326.93,329.66,326.6526
09/30/2025,328.17,4210946,326.90,328.36,325.88
09/29/2025,327.10,3711754,327.69,327.81,326.28
09/26/2025,327.18,3169264,325.89,327.3429,325.22
09/25/2025,325.14,4108104,325.22,325.84,323.38
09/24/2025,326.89,2956952,328.90,328.9099,326.27
09/23/2025,328.09,3455182,329.99,330.36,327.58
09/22/2025,329.86,3434786,327.755,330.10,327.5438
09/19/2025,328.44,3610364,328.31,328.85,326.83
09/18/2025,327.21,3112516,326.93,328.27,325.92
09/17/2025,325.16,3643222,325.66,326.905,322.765
09/16/2025,325.45,3709285,326.31,326.40,324.92
09/15/2025,325.89,3200809,325.47,326.12,325.21
09/12/2025,324.31,3055581,324.80,325.20,324.06
09/11/2025,324.78,3577788,322.91,325.06,322.5141
09/10/2025,321.80,3702703,322.50,323.04,320.97
09/09/2025,320.98,3110528,320.715,321.28,319.45
09/08/2025,320.57,4149781,320.44,320.92,319.71
09/05/2025,319.55,3872086,321.61,322.055,317.49
09/04/2025,320.14,3041972,317.84,320.23,317.32
09/03/2025,317.33,3161366,317.04,317.745,315.86
09/02/2025,315.99,4816314,314.52,316.11,313.30
08/29/2025,318.20,3418766,319.56,319.70,317.2915
08/28/2025,320.10,3236896,319.43,320.40,318.495
08/27/2025,318.94,5481253,317.65,319.25,317.65
08/26/2025,318.09,2832023,316.74,318.21,316.3347
08/25/2025,316.65,2792723,317.58,317.97,316.60
08/22/2025,318.18,3548279,313.99,318.83,313.68
08/21/2025,312.76,2697032,312.90,313.84,311.8634
08/20/2025,313.84,6190339,314.57,314.57,311.24
08/19/2025,314.67,4135736,316.58,316.98,314.10
08/18/2025,316.59,3788571,316.32,316.81,315.99
08/15/2025,316.47,3434118,317.94,317.94,316.01
08/14/2025,317.19,3486988,316.32,317.56,316.01
08/13/2025,317.66,2893615,317.36,317.93,316.40
08/12/2025,316.13,3342708,313.72,316.24,312.9801
08/11/2025,312.31,4275206,313.33,313.93,311.82
08/08/2025,313.03,2881394,311.90,313.30,311.69
08/07/2025,311.07,2974369,313.05,313.4024,309.36
08/06/2025,311.25,3226373,309.55,311.58,309.0501
08/05/2025,309.16,4491817,310.86,311.338,308.45
08/04/2025,310.53,4118061,307.58,310.56,307.58
08/01/2025,305.74,5607339,307.98,307.98,304.40
07/31/2025,310.89,4685867,314.37,314.84,310.39
07/30/2025,312.25,5966789,313.19,314.01,310.77
07/29/2025,312.61,3745560,314.34,314.50,312.24
07/28/2025,313.60,4797910,314.20,314.24,312.93
07/25/2025,313.69,3233210,312.80,313.93,312.41
07/24/2025,312.30,3661710,312.50,313.14,312.195
07/23/2025,312.41,3970919,311.10,312.45,310.32
07/22/2025,309.80,2117256,309.74,310.19,308.23
07/21/2025,309.44,3205046,309.94,311.04,309.27
07/18/2025,309.09,2609068,310.05,310.20,308.55
07/17/2025,309.26,4952997,307.50,309.5801,307.31
07/16/2025,307.26,3069738,306.86,307.5544,304.00
07/15/2025,306.10,3447838,309.09,309.29,306.05
07/14/2025,307.72,2364506,306.74,307.95,306.24
07/11/2025,307.02,2909542,306.88,307.6399,306.15
07/10/2025,308.32,2599171,307.65,308.925,306.96
07/09/2025,307.50,2838786,306.77,307.685,305.80
07/08/2025,305.58,3497860,306.09,306.50,305.18
07/07/2025,305.60,4255808,306.99,307.35,304.2153
07/03/2025,308.03,2238146,306.55,308.40,306.55
07/02/2025,305.51,4474722,303.95,305.5594,303.51
07/01/2025,303.93,3970609,303.04,304.69,302.80
06/30/2025,303.93,3100040,303.74,304.53,302.60
06/27/2025,303.31,3189857,302.68,304.26,301.39
06/26/2025,301.94,2286087,300.37,302.19,300.10
06/25/2025,299.36,3025946,300.35,300.425,298.77
06/24/2025,299.71,3225306,298.43,300.165,297.94
06/23/2025,296.25,3340014,293.49,296.47,291.97
06/20/2025,293.43,2686087,295.62,295.9941,292.72
06/18/2025,294.11,2409273,294.32,295.95,293.68
06/17/2025,294.00,2720404,295.10,296.0465,293.58
06/16/2025,296.47,3113111,295.45,297.3699,295.33
06/13/2025,293.57,3383122,294.45,296.13,292.84
06/12/2025,297.08,3092323,295.30,297.10,295.10
06/11/2025,296.13,2706554,297.60,298.0677,295.16
06/10/2025,296.92,2823123,295.74,297.19,295.22
06/09/2025,295.36,3119667,295.46,296.27,294.82
06/06/2025,295.12,2308773,294.71,295.88,294.0225
06/05/2025,291.72,3035764,293.98,294.90,291.069
06/04/2025,293.34,2718936,293.82,294.3498,293.03
06/03/2025,293.37,3493717,291.535,293.847,291.02
06/02/2025,291.36,2845931,289.34,291.42,287.58
05/30/2025,289.88,3178288,289.47,290.745,286.855
05/29/2025,290.12,3851641,291.53,291.82,288.32
